COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
19,0,-36.643,-54.72,-66.547,-57.025,-163.675,-70.35,-76.324,-322.039,-0.457,-162.702,-91.504,-10.224,-38.796,-125.205,-215.633,-152.563,-101.532,-90.274,-68.872,-64.65,-25.491,8.614,-57.008,-20.505,-59.161,57.138,-105.023,-35.251,-65.121,-105.498,-374.162,-147.882,0.0,0.0,217.0,0,1688564518.3028,2023-07-05 15:41:58,Rest
20,0,-33.02,-50.567,-67.505,-55.431,-164.536,-68.23,-74.199,-323.254,0.056,-162.027,-88.339,-10.727,-34.659,-119.957,-212.856,-152.922,-96.308,-81.474,-63.167,-51.778,-17.781,8.093,-57.463,-15.873,-64.225,56.568,-102.868,-34.191,-63.519,-105.905,-375.837,-146.71,0.0,0.0,213.0,0,1688564518.3107,2023-07-05 15:41:58,Rest
21,0,-38.623,-52.566,-72.561,-56.4,-165.909,-73.285,-73.612,-322.931,3.642,-162.89,-92.349,-13.277,-42.309,-127.522,-217.766,-155.843,-89.551,-83.442,-61.567,-48.652,-13.152,8.597,-59.455,-15.858,-61.6,64.196,-105.839,-40.304,-66.017,-106.824,-378.535,-147.587,0.0,0.0,211.0,0,1688564518.3185,2023-07-05 15:41:58,Rest
22,0,-42.682,-65.321,-75.05,-66.078,-176.501,-76.286,-79.174,-329.78,7.737,-164.776,-97.892,-16.338,-43.804,-129.443,-225.233,-164.397,-89.462,-90.019,-65.092,-51.165,-17.237,3.466,-62.982,-21.989,-55.903,66.693,-108.295,-45.387,-70.049,-114.401,-382.767,-155.125,0.0,0.0,214.0,0,1688564518.3264,2023-07-05 15:41:58,Rest
23,0,-45.714,-68.841,-83.172,-80.356,-186.059,-78.771,-86.267,-338.672,3.118,-173.321,-102.405,-22.982,-45.297,-127.777,-230.131,-173.966,-87.836,-92.49,-73.736,-58.798,-25.929,-6.784,-69.066,-28.627,-65.068,56.381,-113.822,-46.366,-77.151,-121.972,-392.118,-166.752,0.0,0.0,216.0,0,1688564518.3342,2023-07-05 15:41:58,Rest
24,0,-48.229,-67.748,-92.31,-82.325,-185.36,-83.815,-88.23,-338.846,2.603,-181.344,-103.327,-25.008,-48.838,-132.26,-235.024,-178.403,-84.162,-95.471,-78.785,-70.523,-33.588,-9.339,-73.096,-30.648,-77.299,48.64,-122.417,-48.369,-80.66,-125.948,-402.484,-176.832,0.0,0.0,210.0,0,1688564518.3421,2023-07-05 15:41:58,Rest
25,0,-50.743,-76.902,-91.193,-78.144,-190.81,-87.83,-92.24,-341.581,8.235,-178.601,-106.81,-25.495,-49.814,-135.714,-235.301,-176.175,-90.737,-102.036,-79.219,-75.063,-43.801,-13.94,-73.535,-37.277,-83.369,44.493,-127.418,-56.006,-81.604,-131.457,-406.693,-179.217,0.0,0.0,212.0,0,1688564518.3499,2023-07-05 15:41:58,Rest
26,0,-60.426,-91.17,-102.373,-91.898,-211.112,-96.963,-104.443,-356.096,2.08,-183.546,-116.437,-33.667,-55.399,-135.578,-225.332,-168.314,-113.188,-104.495,-85.287,-77.549,-51.954,-24.685,-81.658,-46.974,-93.019,29.591,-138.561,-64.659,-90.744,-143.621,-417.045,-187.747,0.0,0.0,195.0,0,1688564518.3579,2023-07-05 15:41:58,Rest
27,0,-64.976,-96.201,-121.738,-112.299,-224.221,-105.576,-108.95,-363.425,-6.632,-196.17,-119.906,-40.293,-59.442,-138.516,-218.447,-160.462,-127.42,-100.293,-85.714,-75.935,-48.316,-20.561,-89.261,-39.755,-94.463,15.729,-148.669,-65.106,-100.387,-156.285,-430.972,-204.977,0.0,0.0,209.0,0,1688564518.3657,2023-07-05 15:41:58,Rest
28,0,-51.079,-84.322,-108.809,-101.94,-211.189,-96.249,-95.008,-349.229,0.547,-187.777,-109.028,-30.006,-49.649,-136.841,-222.327,-161.326,-113.972,-92.508,-73.333,-60.49,-30.849,-4.147,-77.901,-21.272,-76.95,33.644,-134.688,-54.283,-89.528,-146.908,-417.221,-193.502,0.0,0.0,209.0,0,1688564518.3736,2023-07-05 15:41:58,Rest
29,0,-32.585,-60.672,-77.449,-74.174,-187.411,-78.222,-80.569,-328.9,8.231,-165.048,-96.624,-13.07,-39.353,-131.581,-230.814,-168.849,-98.489,-85.755,-65.575,-48.646,-13.912,6.103,-59.893,-9.467,-56.381,66.398,-108.938,-38.859,-72.02,-117.559,-384.016,-160.52,0.0,3254779904.0,213.0,0,1688564518.3814,2023-07-05 15:41:58,Rest
30,0,-30.503,-52.414,-74.298,-72.05,-184.15,-77.631,-79.464,-326.009,5.661,-166.932,-94.99,-11.52,-43.412,-137.597,-242.878,-177.389,-101.977,-88.231,-71.657,-56.282,-17.484,3.536,-61.37,-8.946,-54.276,77.603,-103.706,-34.722,-71.436,-111.806,-373.898,-156.774,0.0,0.0,200.0,0,1688564518.3893,2023-07-05 15:41:58,Rest
31,0,-39.694,-67.731,-88.568,-87.86,-198.311,-86.775,-86.556,-334.905,4.631,-184.696,-104.117,-21.755,-51.566,-149.755,-252.881,-186.434,-106.998,-99.413,-78.246,-65.447,-33.348,-5.689,-73.604,-19.183,-66.004,58.57,-117.435,-46.983,-82.635,-130.138,-386.332,-176.597,0.0,0.0,223.0,0,1688564518.3972,2023-07-05 15:41:58,Rest
32,0,-43.753,-72.786,-89.504,-87.772,-201.698,-87.2,-90.056,-335.082,7.7,-180.925,-109.648,-23.27,-47.928,-148.068,-251.092,-189.833,-102.792,-102.9,-76.631,-62.82,-32.29,-5.684,-75.067,-25.824,-65.938,52.876,-120.391,-52.059,-84.09,-131.032,-387.483,-174.883,3968.0,0.0,0.0,0,1688564518.405,2023-07-05 15:41:58,Rest
33,0,-38.074,-61.443,-82.242,-82.049,-194.324,-82.502,-85.868,-330.649,10.767,-171.01,-104.415,-18.124,-41.732,-140.235,-248.791,-185.545,-101.665,-97.674,-74.505,-60.196,-22.524,2.007,-68.332,-19.65,-57.676,62.044,-113.098,-44.834,-78.37,-120.655,-381.972,-165.487,3840.0,0.0,0.0,0,1688564518.4129,2023-07-05 15:41:58,Rest
34,0,-39.572,-64.967,-85.234,-89.651,-198.741,-83.957,-86.294,-333.392,14.342,-183.134,-106.36,-22.716,-47.838,-143.169,-251.616,-184.847,-108.735,-102.7,-78.529,-64.234,-30.699,-4.143,-71.338,-23.217,-64.278,56.859,-121.694,-51.962,-81.878,-127.194,-387.738,-173.518,3968.0,0.0,0.0,0,1688564518.4208,2023-07-05 15:41:58,Rest
35,0,-48.754,-75.661,-94.37,-96.734,-208.788,-92.07,-94.917,-337.669,14.84,-190.124,-115.988,-30.891,-55.475,-148.661,-249.828,-187.736,-115.799,-105.671,-80.499,-65.707,-34.254,-12.848,-78.951,-33.44,-72.923,50.655,-138.479,-62.668,-87.944,-135.264,-391.961,-180.517,3712.0,0.0,0.0,0,1688564518.4287,2023-07-05 15:41:58,Rest
36,0,-46.656,-72.511,-93.251,-96.637,-206.53,-91.978,-96.359,-338.868,14.313,-177.126,-111.773,-27.274,-49.784,-146.463,-247.529,-183.962,-114.659,-95.319,-71.71,-56.42,-16.801,-1.052,-75.286,-19.574,-61.067,58.289,-135.267,-51.847,-85.294,-133.079,-384.397,-176.751,4096.0,0.0,0.0,0,1688564518.4365,2023-07-05 15:41:58,Rest
37,0,-38.925,-69.877,-85.986,-95.004,-203.762,-84.714,-88.578,-338.53,15.835,-175.412,-102.952,-20.586,-44.099,-141.706,-247.281,-179.68,-107.884,-91.637,-65.49,-49.703,-9.1,11.244,-69.063,-5.722,-53.321,62.841,-128.984,-44.111,-81.111,-133.459,-376.84,-174.525,3840.0,0.0,0.0,0,1688564518.4444,2023-07-05 15:41:58,Rest
