COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
118,0,76.902,9.732,9.807,9.583,22.242,-9.048,-796.177,-242.828,21.638,-237.315,-76.913,45.84,-73.71,-249.087,-280.668,-107.083,843.277,-173.711,-70.496,-328.632,-442.068,-11.816,-28.642,-343.95,-376.678,-2797.722,-398.49,-75.219,-52.279,-31.349,-271.278,-172.623,3712.0,33554432.0,0.0,0,1688564273.1016,2023-07-05 15:37:53,Rest
119,0,65.555,-16.406,-19.405,-13.993,1.215,-32.605,-810.75,-255.905,8.297,-247.324,-93.23,22.741,-87.981,-261.134,-302.929,-133.104,818.355,-191.98,-89.893,-346.746,-465.705,-33.321,-50.642,-365.123,-389.621,-2827.2,-417.559,-97.173,-72.719,-53.346,-278.691,-204.726,3840.0,2181038080.0,0.0,0,1688564273.1094,2023-07-05 15:37:53,Rest
120,0,51.657,-36.369,-46.538,-36.008,-27.476,-48.454,-823.771,-268.969,4.702,-261.421,-105.433,3.25,-98.652,-271.119,-321.069,-155.0,794.483,-210.743,-105.172,-367.404,-491.367,-50.707,-68.522,-382.176,-391.281,-2837.693,-431.998,-116.544,-89.552,-68.15,-275.339,-228.087,3968.0,0.0,0.0,0,1688564273.1171,2023-07-05 15:37:53,Rest
121,0,39.822,-42.993,-56.225,-44.682,-37.182,-56.602,-841.903,-261.016,1.112,-268.845,-115.573,-4.95,-110.336,-281.094,-329.457,-162.529,791.127,-221.803,-118.387,-379.845,-509.831,-58.853,-73.577,-389.991,-391.914,-2842.027,-437.202,-127.698,-97.148,-70.131,-266.354,-241.692,3968.0,0.0,0.0,0,1688564273.1249,2023-07-05 15:37:53,Rest
122,0,30.048,-57.295,-66.927,-51.297,-45.342,-69.353,-854.893,-257.169,1.623,-276.773,-133.388,-21.339,-133.792,-301.305,-343.472,-176.711,765.232,-239.512,-137.224,-390.223,-522.129,-72.114,-82.725,-403.946,-397.67,-2862.239,-444.962,-143.964,-109.858,-78.258,-259.428,-262.455,3840.0,0.0,0.0,0,1688564273.1326,2023-07-05 15:37:53,Rest
123,0,22.334,-77.73,-87.865,-66.615,-61.69,-85.166,-870.432,-265.621,3.158,-286.742,-144.526,-39.761,-150.564,-318.934,-352.351,-184.219,734.753,-264.888,-150.919,-399.567,-527.242,-89.46,-101.085,-416.35,-400.346,-2889.091,-457.324,-164.313,-126.142,-92.012,-254.045,-286.271,3712.0,0.0,0.0,0,1688564273.1405,2023-07-05 15:37:53,Rest
124,0,18.725,-85.849,-102.634,-76.794,-65.727,-93.79,-880.832,-266.892,-5.554,-290.042,-145.918,-45.869,-151.951,-323.226,-355.072,-182.498,725.822,-275.382,-154.355,-399.68,-521.079,-95.518,-112.767,-417.982,-395.847,-2904.133,-463.527,-174.395,-132.676,-94.481,-246.619,-301.354,3968.0,0.0,0.0,0,1688564273.1482,2023-07-05 15:37:53,Rest
125,0,19.731,-86.275,-102.531,-75.693,-65.661,-96.257,-877.39,-258.428,-7.086,-288.727,-149.359,-45.823,-151.286,-325.465,-361.889,-187.951,716.899,-269.471,-154.713,-399.28,-510.312,-90.812,-110.093,-416.028,-381.107,-2902.253,-462.039,-175.757,-134.08,-89.776,-227.929,-305.663,3712.0,0.0,0.0,0,1688564273.156,2023-07-05 15:37:53,Rest
126,0,14.588,-95.411,-108.576,-84.326,-80.453,-99.235,-883.685,-250.997,-3.492,-292.537,-150.746,-48.338,-154.721,-329.238,-361.015,-186.738,702.862,-272.275,-159.681,-410.664,-512.876,-92.771,-112.032,-419.71,-369.455,-2907.548,-468.237,-185.827,-139.069,-94.81,-211.308,-316.628,3968.0,0.0,0.0,0,1688564273.1637,2023-07-05 15:37:53,Rest
127,0,4.327,-113.246,-132.034,-106.784,-97.278,-109.382,-896.121,-255.869,-13.223,-303.515,-156.231,-56.999,-159.177,-328.396,-352.457,-177.843,681.667,-281.225,-171.817,-430.745,-535.929,-102.924,-126.265,-433.123,-379.844,-2935.379,-486.212,-203.572,-149.176,-105.473,-210.584,-341.415,3712.0,0.0,0.0,0,1688564273.1715,2023-07-05 15:37:53,Rest
0,0,-0.8,-124.916,-148.808,-118.46,-106.402,-119.519,-897.787,-264.835,-26.017,-315.507,-167.858,-67.188,-163.117,-329.092,-356.715,-178.689,650.759,-286.579,-184.453,-451.831,-558.959,-104.87,-135.36,-440.374,-384.075,-2957.034,-492.898,-211.566,-160.298,-108.954,-203.201,-356.955,0.0,0.0,222.0,0,1688564273.1792,2023-07-05 15:37:53,Rest
1,0,-2.336,-127.352,-150.196,-119.366,-111.419,-124.522,-906.111,-261.496,-35.213,-326.462,-167.177,-71.732,-169.101,-337.985,-364.043,-180.048,634.227,-298.588,-194.514,-467.774,-573.257,-107.327,-138.811,-435.323,-365.76,-2965.348,-486.769,-214.428,-168.847,-108.333,-177.895,-359.672,0.0,0.0,229.0,0,1688564273.187,2023-07-05 15:37:53,Rest
2,0,8.425,-132.86,-155.169,-124.37,-113.357,-129.009,-924.16,-250.989,-45.936,-333.308,-163.424,-79.857,-178.666,-347.893,-361.118,-175.769,627.957,-313.658,-205.078,-474.99,-591.127,-124.126,-149.43,-442.572,-363.345,-2987.998,-494.48,-228.046,-173.801,-110.273,-163.372,-369.046,0.0,0.0,212.0,0,1688564273.1947,2023-07-05 15:37:53,Rest
3,0,38.13,-141.949,-162.186,-125.782,-119.904,-131.441,-931.433,-245.615,-50.501,-331.95,-169.921,-92.585,-187.709,-354.205,-360.244,-177.13,613.497,-317.443,-211.021,-474.515,-602.831,-135.785,-156.965,-461.085,-373.228,-3017.285,-507.817,-244.212,-180.287,-112.212,-156.037,-379.947,0.0,33554432.0,225.0,0,1688564273.2026,2023-07-05 15:37:53,Rest
4,0,64.22,-146.418,-162.536,-124.12,-125.419,-130.285,-934.087,-243.32,-51.987,-330.081,-172.312,-95.054,-194.693,-359.998,-363.47,-178.49,606.223,-318.663,-211.322,-470.967,-588.908,-134.624,-157.833,-463.185,-357.998,-3033.736,-503.723,-252.164,-187.279,-110.051,-131.802,-382.641,0.0,0.0,142.0,0,1688564273.2103,2023-07-05 15:37:53,Rest
