COUNTER,INTERPOLATED,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2,HighBitFlex,SaturationFlag,RAW_CQ,MARKER_HARDWARE,MARKERS,Human Readable Time,New Label
33,0,-2.867,6.715,-173.85,7.689,12.369,9.697,11.257,-5.602,6.837,4.165,-3.231,-5.098,9.508,11.304,-9.201,-0.899,8.92,2.97,-3.799,0.886,-2.267,1.313,4.727,-1.289,-3.655,5.014,2.911,11.569,6.054,7.445,2.894,-66.373,3968.0,0.0,0.0,0,1690553915.2079,2023-07-28 16:18:35,Rest
34,0,-10.036,-0.465,-191.607,-7.176,3.135,4.052,17.906,-11.232,3.244,0.575,-4.253,-6.63,3.351,7.707,-9.704,-3.972,3.275,-2.156,-6.356,-1.676,-4.827,-2.275,0.624,-4.874,-7.75,-0.627,0.859,4.385,-1.125,-0.247,-12.478,-75.528,3968.0,0.0,0.0,0,1690553915.2157,2023-07-28 16:18:35,Rest
35,0,-9.514,2.61,-205.247,-3.07,6.718,5.072,16.863,-3.536,6.827,0.062,2.924,-3.55,1.298,10.261,-0.985,-3.455,4.297,-7.277,-3.789,-1.162,-0.723,-1.76,1.648,-4.869,-1.083,0.399,4.445,2.332,-0.611,1.29,-5.806,-80.575,3968.0,0.0,0.0,0,1690553915.2235,2023-07-28 16:18:35,Rest
36,0,-1.307,5.681,-213.751,-1.018,11.322,6.092,14.797,4.664,14.505,8.771,5.995,0.552,3.858,9.226,5.676,-3.452,5.317,-1.634,-5.322,3.45,-0.723,1.828,3.696,-3.84,7.115,9.108,2.903,5.916,-1.123,4.875,-0.677,-86.13,4096.0,0.0,0.0,0,1690553915.2313,2023-07-28 16:18:35,Rest
37,0,-4.892,2.602,-221.734,-10.751,7.212,3.524,14.27,1.073,9.367,9.275,1.89,-4.571,3.342,5.63,1.059,-7.035,1.725,1.954,-5.316,3.959,-2.259,-0.223,-0.919,-7.422,5.059,8.074,2.388,1.299,-6.245,2.309,-10.923,-96.803,3968.0,0.0,0.0,0,1690553915.239,2023-07-28 16:18:35,Rest
38,0,-12.06,-0.475,-230.734,-12.277,4.643,1.471,5.034,-5.075,6.284,5.679,-0.673,-7.641,-0.76,7.162,-2.528,-9.077,-0.838,-5.221,-2.749,-0.144,-1.232,-3.809,-6.553,-9.976,-1.094,1.918,5.459,-4.85,-8.288,-0.768,-12.961,-102.341,3968.0,0.0,0.0,0,1690553915.2469,2023-07-28 16:18:35,Rest
39,0,-8.974,2.599,-234.09,-3.043,6.688,2.495,-0.094,-5.07,13.962,10.285,1.889,-4.047,1.803,4.081,2.085,-7.531,1.725,-9.826,-6.333,0.369,-3.792,0.805,-1.424,-6.892,0.957,6.015,3.405,-0.234,-5.206,-0.767,-4.751,-100.702,3968.0,0.0,0.0,0,1690553915.2547,2023-07-28 16:18:35,Rest
40,0,-7.94,4.134,-235.905,-4.064,4.632,1.98,5.029,-5.065,14.973,8.225,-1.699,-7.117,2.825,-2.071,-0.991,-8.548,2.235,-19.038,-9.4,1.393,-7.375,0.292,0.627,-7.398,0.956,10.619,-1.209,2.327,-6.225,-1.791,-6.795,-107.261,3968.0,0.0,0.0,0,1690553915.2626,2023-07-28 16:18:35,Rest
41,0,-12.031,-3.043,-244.378,-18.405,-2.033,-3.658,1.95,-9.671,7.273,-4.079,-10.919,-13.257,-5.374,-3.606,-7.65,-16.224,-3.915,-38.999,-9.903,-2.194,-7.88,-9.442,-8.595,-13.538,-5.193,5.486,-3.257,-5.36,-13.391,-5.887,-16.523,-119.962,3968.0,0.0,0.0,0,1690553915.2704,2023-07-28 16:18:35,Rest
42,0,-12.531,-9.7,-256.941,-23.51,-6.642,-7.752,-2.15,-14.784,3.68,-7.661,-9.883,-11.707,-10.492,-4.627,-3.543,-21.331,-9.034,-46.132,-13.992,-5.778,-10.945,-10.969,-14.222,-17.111,-6.725,-0.668,-6.328,-12.014,-18.501,-11.517,-23.166,-124.965,3968.0,0.0,0.0,0,1690553915.2783,2023-07-28 16:18:35,Rest
